"ID","Number","Flex_LL","Flex_UL","SW_LL","SW_UL","SW_Wt_LL","SW_Wt_UL","SW_Meas_Type","Freq_LL","Freq_UL","Freq_Std","Freq_BSL","Freq_Wt"
3428,CWC9IUL65AWXA,52.0,66.0,3.1,5.1,40.0,46.0,Swing Weight Points,,,80,,
3429,CXKHIR20AJWB,,,20.25,20.95,68.5,76.5,Center of Gravity,270.0,276.0,80,127.0,196
3430,VMIC10A,,,10.0,10.001,67.0,75.0,Center of Gravity,250.0,260.0,80,158.75,235
3432,AKVMIC10BQKA,,,10.0,10.001,71.0,81.0,Center of Gravity,245.0,255.0,80,158.75,235
3433,ASVSWC60ATFB,4.6,5.2,10.0,10.001,74.0,84.0,Center of Gravity,,,80,,
3434,ASVSWK60ATFB,3.6,4.2,10.0,10.001,83.0,93.0,Center of Gravity,,,80,,
3435,CXCWIA70AXFE,,,18.05,18.65,62.5,70.5,Center of Gravity,307.0,313.0,80,127.0,252
3436,CXCWIA80AXFE,,,19.05,19.65,63.0,71.0,Center of Gravity,295.0,301.0,80,127.0,252
3437,CXCWIR70AJWB,,,18.55,19.15,67.0,75.0,Center of Gravity,323.0,329.0,80,127.0,252
3438,CXKHISL20AXFD,,,20.25,20.95,63.0,71.0,Center of Gravity,252.0,258.0,80,127.0,196
3439,CXKHIUL10AYXE,,,20.55,21.25,51.5,59.5,Center of Gravity,245.0,251.0,80,127.0,196
3440,CXSSIL70AYXD,,,18.05,18.65,45.5,53.5,Center of Gravity,281.0,287.0,80,127.0,252
3441,CXSSIL75AYXD,,,18.45,19.05,46.0,54.0,Center of Gravity,272.0,278.0,80,127.0,252
3442,CXSSIL80AYXD,,,18.75,19.35,47.0,54.0,Center of Gravity,265.0,271.0,80,127.0,252
3444,TKVNIR00ADUA,3.2,3.8,10.0,10.001,74.0,84.0,Center of Gravity,,,80,,
3445,TKVNIS00ADUA,2.8,3.4,10.0,10.001,77.0,87.0,Center of Gravity,,,80,,
3446,TKVNIX00ADUA,2.6,3.2,10.0,10.001,77.0,87.0,Center of Gravity,,,80,,
3447,MCD9IL90ASKB,,,10.0,10.001,40.0,50.0,Center of Gravity,235.0,245.0,80,186.69,251
3448,CXCWIR75AJWB,,,19.15,19.75,65.0,73.0,Center of Gravity,316.0,322.0,80,127.0,252
3449,CRR08-101-01,122.0,134.0,10.0,10.001,64.0,72.0,Center of Gravity,244.0,250.0,80,158.75,201
3450,CRR08-101-02,112.0,122.0,10.0,10.001,64.0,72.0,Center of Gravity,259.0,265.0,80,158.75,201
3460,ASVSWC60AJHB,116.0,132.0,0.0,0.001,74.0,84.0,Inch Grams,,,80,,
3461,UPVMWL50AT4A,,,10.0,10.001,67.0,77.0,Center of Gravity,225.0,235.0,80,158.75,201
3462,UPVMWR50AT4A,,,10.0,10.001,69.0,79.0,Center of Gravity,235.0,245.0,80,158.75,201
3463,UPVMWS50AT4A,,,10.0,10.001,73.0,83.0,Center of Gravity,250.0,260.0,80,158.75,201
3468,TKVNIL00CDUA,4.1,4.7,10.0,10.001,69.0,79.0,Center of Gravity,,,80,,
3469,DKVMIR00ASKB,,,10.0,10.001,76.0,86.0,Center of Gravity,290.0,300.0,80,158.75,235
3470,CXSSIL70AYXE,,,18.05,18.65,45.5,53.5,Center of Gravity,281.0,287.0,80,127.0,252
3471,CXSSIL75AYXE,,,18.45,19.05,46.0,54.0,Center of Gravity,272.0,278.0,80,127.0,252
3472,CXSSIL80AYXE,,,18.75,19.35,47.0,53.0,Center of Gravity,265.0,271.0,80,127.0,252
3474,CXCWIR80AJWB,,,19.55,20.15,65.0,73.0,Center of Gravity,310.0,316.0,80,127.0,252
3475,CXCWIA75AXFE,,,18.85,19.45,63.0,71.0,Center of Gravity,301.0,307.0,80,127.0,252
3476,DKVMIA00ASKA,,,10.0,10.001,74.0,84.0,Center of Gravity,282.0,292.0,80,158.75,235
3477,DKVMIR00ACZA,,,10.0,10.001,76.0,86.0,Center of Gravity,290.0,300.0,80,158.75,235
3478,PMVNWL50AJHA,4.8,5.4,10.0,10.001,62.0,72.0,Center of Gravity,,,80,,
3479,PMVSIC10ACUA,1.0,3.0,10.0,10.001,74.0,84.0,Center of Gravity,,,80,,
3481,PMVSWC60ACUA,4.6,5.2,10.0,10.001,72.0,82.0,Center of Gravity,,,80,,
3482,CWXDWL60AARA,133.0,147.0,9.3,11.3,61.0,67.0,Swing Weight Points,232.0,242.0,80,186.69,201
3483,CWXDWR60AARA,113.0,127.0,9.4,11.4,60.0,66.0,Swing Weight Points,248.0,258.0,80,186.69,201
3484,CWXDWF60AARA,103.0,117.0,9.5,11.5,61.5,67.5,Swing Weight Points,264.0,274.0,80,186.69,201
3485,BRVSIC10AS1A,4.0,4.6,10.0,10.001,78.0,88.0,Center of Gravity,,,80,,
3486,BRVSIC10AS1B,4.0,4.6,10.0,10.001,78.0,88.0,Center of Gravity,,,80,,
3487,MCD9IL90ASKA,,,10.0,10.001,40.0,50.0,Center of Gravity,235.0,245.0,80,186.69,251
3488,D9IL90A,,,10.0,10.001,39.0,47.0,Center of Gravity,235.0,245.0,80,186.69,251
3489,DNVNWL50AS1A,4.8,5.4,10.0,10.001,63.0,73.0,Center of Gravity,,,80,,
3490,DNVNWR50AT6B,4.0,4.6,10.0,10.001,68.0,78.0,Center of Gravity,,,80,,
3491,DNVNWR50AT6A,4.0,4.6,10.0,10.001,68.0,78.0,Center of Gravity,,,80,,
3492,DNVNWL50AWSA,4.8,5.4,10.0,10.001,63.0,73.0,Center of Gravity,,,80,,
3493,VMIC10B,,,10.0,10.001,69.0,77.0,Center of Gravity,245.0,255.0,80,158.75,235
3494,MSIL00A,,,10.0,10.001,50.0,58.0,Center of Gravity,235.0,245.0,80,158.75,235
3495,AK8GIR20AZLA,,,10.0,10.001,80.0,88.0,Center of Gravity,262.0,268.0,80,158.75,235
3496,AK8GIS20AZLA,,,10.0,10.001,79.0,87.0,Center of Gravity,277.0,283.0,80,158.75,235
3497,AK8GIX20AZLA,,,10.0,10.001,80.0,88.0,Center of Gravity,292.0,298.0,80,158.75,235
3498,"8GIR20A",,,10.0,10.001,78.0,84.0,Center of Gravity,262.0,268.0,80,158.75,235
3499,"8GIS20A",,,10.0,10.001,77.0,83.0,Center of Gravity,277.0,283.0,80,158.75,235
3500,"8GIX20A",,,10.0,10.001,78.0,84.0,Center of Gravity,292.0,298.0,80,158.75,235
3501,VEWL60A,,,,,,,,,,80,,
3502,AKVMIC10AQKA,,,10.0,10.001,69.0,79.0,Center of Gravity,250.0,260.0,80,158.75,235
3503,AKVMIC10AXRA,,,10.0,10.001,69.0,79.0,Center of Gravity,250.0,260.0,80,158.75,235
3504,AKVNWA50AXXA,4.5,5.1,10.0,10.001,66.0,76.0,Center of Gravity,,,80,,
3505,AKVNWR50AXXA,,,10.0,10.001,69.0,79.0,Center of Gravity,235.0,245.0,80,158.75,201
3506,AKVNWS50AXXA,,,10.0,10.001,73.0,83.0,Center of Gravity,250.0,260.0,80,158.75,201
3507,CXKHISL20AJWA,,,20.25,20.95,63.0,71.0,Center of Gravity,252.0,258.0,80,127.0,196
3508,CXCWIA70AJWA,,,18.05,18.65,62.5,70.5,Center of Gravity,306.0,314.0,80,127.0,252
3509,CXCWIA75AJWA,,,18.85,19.45,63.0,71.0,Center of Gravity,300.0,308.0,80,127.0,252
3510,CXCWIA80AJWA,,,19.05,19.65,63.0,71.0,Center of Gravity,294.0,302.0,80,127.0,252
