"PartID","ZMID","Diam_LL","Diam_UL","Min_Under","Max_Over"
8006,232,9.35,9.45,0.003,0.003
8006,314,9.35,9.45,0.003,0.003
8006,88,9.35,9.45,0.003,0.003
8007,39,14.75,15.15,0.003,0.003
8007,232,9.35,9.45,0.003,0.003
8007,314,9.35,9.45,0.003,0.003
8007,88,9.35,9.45,0.003,0.003
7928,60,14.22,14.7,0.003,0.003
9281,232,9.35,9.45,0.003,0.003
9281,358,9.35,9.45,0.003,0.003
7257,112,14.95,15.35,0.003,0.003
8470,183,15.5,15.9,0.003,0.003
8470,327,15.0,15.4,0.003,0.003
2369,379,14.98,15.34,0.003,0.003
7998,39,15.1,15.5,0.003,0.003
7998,232,9.35,9.45,0.003,0.003
7998,314,9.35,9.45,0.003,0.003
7998,88,9.35,9.45,0.003,0.003
7985,41,9.23,9.33,0.003,0.003
7986,39,15.4,15.8,0.003,0.003
7986,232,9.04,9.14,0.003,0.003
7986,41,9.23,9.33,0.003,0.003
5055,209,14.68,15.04,0.003,0.003
5055,69,8.96,9.12,0.003,0.003
2369,46,14.98,15.34,0.003,0.003
2369,9,8.96,9.12,0.003,0.003
2369,74,9.19,9.35,0.003,0.003
5755,39,15.75,16.25,0.003,0.003
5755,306,9.29,9.45,0.003,0.003
5755,386,9.29,9.45,0.003,0.003
6874,39,15.55,15.95,0.003,0.003
6874,43,8.45,8.55,0.003,0.003
6874,232,8.45,8.55,0.003,0.003
6874,75,8.45,8.55,0.003,0.003
6875,112,15.55,15.95,0.003,0.003
6875,233,8.5,8.7,0.003,0.003
6875,103,8.5,8.7,0.003,0.003
6875,92,8.5,8.7,0.003,0.003
8022,39,15.2,15.6,0.003,0.003
8022,232,9.01,9.11,0.003,0.003
8022,41,9.22,9.32,0.003,0.003
8082,112,15.2,15.6,0.003,0.003
8082,233,9.0,9.2,0.003,0.003
8082,249,9.21,9.41,0.003,0.003
8219,39,14.8,15.1,0.003,0.003
8219,308,14.8,14.95,0.003,0.003
8219,307,9.01,9.11,0.003,0.003
8219,41,9.22,9.32,0.003,0.003
8220,112,14.8,15.1,0.003,0.003
8220,311,14.8,14.95,0.003,0.003
8220,321,9.01,9.21,0.003,0.003
8220,249,9.22,9.42,0.003,0.003
8221,39,14.8,15.1,0.003,0.003
8221,308,14.8,14.95,0.003,0.003
8221,307,9.01,9.11,0.003,0.003
8221,41,9.22,9.32,0.003,0.003
8222,112,14.8,15.1,0.003,0.003
8222,311,14.8,14.95,0.003,0.003
8222,321,9.01,9.21,0.003,0.003
8222,249,9.22,9.42,0.003,0.003
8223,39,14.8,15.1,0.003,0.003
8223,308,14.8,14.95,0.003,0.003
8223,307,9.01,9.11,0.003,0.003
8223,41,9.22,9.32,0.003,0.003
8224,112,14.8,15.1,0.003,0.003
8224,311,14.8,14.95,0.003,0.003
8224,321,9.01,9.21,0.003,0.003
8224,249,9.22,9.42,0.003,0.003
8225,39,14.8,15.1,0.003,0.003
8225,308,14.8,14.95,0.003,0.003
8225,307,9.01,9.11,0.003,0.003
8225,41,9.22,9.32,0.003,0.003
8226,112,14.8,15.1,0.003,0.003
8226,311,14.8,14.95,0.003,0.003
8226,321,9.01,9.21,0.003,0.003
8226,249,9.22,9.42,0.003,0.003
8227,39,14.8,15.1,0.003,0.003
8227,308,14.8,14.95,0.003,0.003
8227,307,9.01,9.11,0.003,0.003
8227,41,9.22,9.32,0.003,0.003
8470,233,8.5,8.7,0.003,0.003
8470,328,8.5,8.7,0.003,0.003
8470,129,8.5,8.7,0.003,0.003
8240,112,14.9,15.2,0.003,0.003
8240,311,14.9,15.0,0.003,0.003
8240,321,9.01,9.21,0.003,0.003
8240,249,9.22,9.42,0.003,0.003
8241,39,14.9,15.2,0.003,0.003
8241,308,14.9,15.0,0.003,0.003
8241,307,9.01,9.11,0.003,0.003
8164,39,15.1,15.5,0.003,0.003
8790,39,15.5,15.9,0.003,0.003
8790,232,9.35,9.45,0.003,0.003
8790,18,9.35,9.45,0.003,0.003
8790,8,9.35,9.45,0.003,0.003
8791,39,15.5,15.9,0.003,0.003
8791,232,9.35,9.45,0.003,0.003
8791,18,9.35,9.45,0.003,0.003
8791,8,9.35,9.45,0.003,0.003
8792,39,15.1,15.5,0.003,0.003
8792,232,9.35,9.45,0.003,0.003
8174,112,15.1,15.5,0.003,0.003
8174,233,9.09,9.29,0.003,0.003
8174,249,9.28,9.48,0.003,0.003
12954,112,14.75,15.15,0.003,0.003
12954,233,9.4,9.6,0.003,0.003
12954,315,9.4,9.6,0.003,0.003
12954,102,9.4,9.6,0.003,0.003
12955,112,15.05,15.45,0.003,0.003
12955,233,9.4,9.6,0.003,0.003
12955,103,9.4,9.6,0.003,0.003
12955,92,9.4,9.6,0.003,0.003
12956,112,14.85,15.25,0.003,0.003
12956,233,9.4,9.6,0.003,0.003
12956,315,9.4,9.6,0.003,0.003
12956,102,9.4,9.6,0.003,0.003
12957,394,15.4,15.8,0.003,0.003
12957,395,14.85,15.15,0.003,0.003
12957,232,9.15,9.25,0.003,0.003
12957,326,9.15,9.25,0.003,0.003
12957,348,9.15,9.25,0.003,0.003
12958,394,15.25,15.65,0.003,0.003
12958,395,14.65,14.95,0.003,0.003
12958,232,9.15,9.25,0.003,0.003
12958,326,9.15,9.25,0.003,0.003
8044,112,14.5,14.9,0.003,0.003
8044,233,9.4,9.6,0.003,0.003
8044,315,9.4,9.6,0.003,0.003
8044,102,9.4,9.6,0.003,0.003
8045,112,14.75,15.15,0.003,0.003
8045,233,9.4,9.6,0.003,0.003
8045,315,9.4,9.6,0.003,0.003
8045,102,9.4,9.6,0.003,0.003
8792,18,9.35,9.45,0.003,0.003
8792,8,9.35,9.45,0.003,0.003
8793,39,15.1,15.5,0.003,0.003
8793,232,9.35,9.45,0.003,0.003
8052,112,15.16,15.52,0.003,0.003
8052,126,15.11,15.47,0.003,0.003
8052,121,15.06,15.42,0.003,0.003
8050,112,15.36,15.72,0.003,0.003
8050,126,15.31,15.67,0.003,0.003
8050,121,15.26,15.62,0.003,0.003
8049,112,15.36,15.72,0.003,0.003
8049,126,15.31,15.67,0.003,0.003
8049,121,15.21,15.57,0.003,0.003
8049,92,8.52,8.7,0.003,0.003
8048,112,15.47,15.83,0.003,0.003
8048,126,15.42,15.78,0.003,0.003
8048,121,15.31,15.67,0.003,0.003
8048,92,8.52,8.7,0.003,0.003
8047,112,15.57,15.93,0.003,0.003
8047,126,15.52,15.88,0.003,0.003
8047,121,15.42,15.78,0.003,0.003
8047,92,8.52,8.7,0.003,0.003
8040,39,15.06,15.42,0.003,0.003
8040,40,14.96,15.32,0.003,0.003
8041,112,15.06,15.42,0.003,0.003
8041,126,14.96,15.32,0.003,0.003
8041,121,14.88,15.24,0.003,0.003
11171,112,15.3,15.7,0.003,0.003
11171,232,9.04,9.14,0.003,0.003
11171,249,9.28,9.48,0.003,0.003
12390,112,14.95,15.25,0.003,0.003
12390,307,9.01,9.11,0.003,0.003
12390,249,9.28,9.48,0.003,0.003
12391,39,15.05,15.35,0.003,0.003
12391,307,9.01,9.11,0.003,0.003
12391,41,9.22,9.32,0.003,0.003
12392,39,15.05,15.35,0.003,0.003
8164,232,9.04,9.14,0.003,0.003
8164,41,9.23,9.33,0.003,0.003
7973,41,9.23,9.33,0.003,0.003
7973,39,15.2,15.6,0.003,0.003
7973,232,9.04,9.14,0.003,0.003
7974,39,15.2,15.6,0.003,0.003
7974,232,9.04,9.14,0.003,0.003
7974,41,9.23,9.33,0.003,0.003
8091,112,15.4,15.8,0.003,0.003
8061,112,15.1,15.5,0.003,0.003
8061,233,9.4,9.6,0.003,0.003
8061,315,9.4,9.6,0.003,0.003
8061,102,9.4,9.6,0.003,0.003
8241,41,9.22,9.32,0.003,0.003
8242,112,14.9,15.2,0.003,0.003
8242,311,14.9,15.0,0.003,0.003
8242,321,9.01,9.21,0.003,0.003
8242,249,9.22,9.42,0.003,0.003
8243,39,14.9,15.2,0.003,0.003
8243,308,14.9,15.0,0.003,0.003
8243,307,9.01,9.11,0.003,0.003
8243,41,9.22,9.32,0.003,0.003
8244,112,14.9,15.2,0.003,0.003
8244,311,14.9,15.0,0.003,0.003
8244,321,9.01,9.21,0.003,0.003
8244,249,9.22,9.42,0.003,0.003
8245,39,14.9,15.2,0.003,0.003
8245,308,14.9,15.0,0.003,0.003
8245,307,9.01,9.11,0.003,0.003
8245,41,9.22,9.32,0.003,0.003
8246,112,14.9,15.2,0.003,0.003
8246,311,14.9,15.0,0.003,0.003
8246,321,9.01,9.21,0.003,0.003
8246,249,9.22,9.42,0.003,0.003
8247,39,14.9,15.2,0.003,0.003
8247,308,14.9,15.0,0.003,0.003
8247,307,9.01,9.11,0.003,0.003
8247,41,9.22,9.32,0.003,0.003
8248,112,14.9,15.2,0.003,0.003
8248,311,14.9,15.0,0.003,0.003
8248,321,9.01,9.21,0.003,0.003
8248,249,9.22,9.42,0.003,0.003
8249,39,14.9,15.2,0.003,0.003
8249,308,14.9,15.0,0.003,0.003
8249,307,9.01,9.11,0.003,0.003
8249,41,9.22,9.32,0.003,0.003
8250,112,14.9,15.2,0.003,0.003
8250,311,14.9,15.0,0.003,0.003
8250,321,9.01,9.21,0.003,0.003
8250,249,9.22,9.42,0.003,0.003
8196,112,14.95,15.25,0.003,0.003
8196,311,14.95,15.15,0.003,0.003
8196,321,9.01,9.21,0.003,0.003
8196,249,9.22,9.42,0.003,0.003
8197,39,14.95,15.25,0.003,0.003
8197,308,14.95,15.15,0.003,0.003
8197,307,9.01,9.11,0.003,0.003
8197,41,9.22,9.32,0.003,0.003
8198,112,14.95,15.25,0.003,0.003
8198,311,14.95,15.15,0.003,0.003
8198,321,9.01,9.21,0.003,0.003
8198,249,9.22,9.42,0.003,0.003
8199,39,14.95,15.25,0.003,0.003
8199,308,14.95,15.15,0.003,0.003
8199,307,9.01,9.11,0.003,0.003
8199,41,9.22,9.32,0.003,0.003
8200,112,14.95,15.25,0.003,0.003
8200,311,14.95,15.15,0.003,0.003
8200,321,9.01,9.21,0.003,0.003
8200,249,9.22,9.42,0.003,0.003
8201,39,14.95,15.25,0.003,0.003
8201,308,14.95,15.15,0.003,0.003
8201,307,9.01,9.11,0.003,0.003
8201,41,9.22,9.32,0.003,0.003
8202,112,14.95,15.25,0.003,0.003
8202,311,14.95,15.15,0.003,0.003
8793,18,9.35,9.45,0.003,0.003
8793,8,9.35,9.45,0.003,0.003
8794,39,15.2,15.6,0.003,0.003
8794,232,9.35,9.45,0.003,0.003
8794,18,9.35,9.45,0.003,0.003
8794,8,9.35,9.45,0.003,0.003
5313,379,14.91,15.27,0.003,0.003
5313,135,14.22,15.27,0.003,0.003
5313,69,8.43,8.59,0.003,0.003
5313,384,8.43,8.59,0.003,0.003
8052,233,8.52,8.7,0.003,0.003
8052,92,8.52,8.7,0.003,0.003
8052,103,8.52,8.7,0.003,0.003
8052,60,15.0,15.6,0.003,0.003
8040,46,14.88,15.24,0.003,0.003
8040,232,8.44,8.54,0.003,0.003
8040,305,8.44,8.54,0.003,0.003
8049,233,8.52,8.7,0.003,0.003
8049,60,15.1,15.8,0.003,0.003
8049,103,8.52,8.7,0.003,0.003
8048,233,8.52,8.7,0.003,0.003
8050,92,8.52,8.7,0.003,0.003
8050,233,8.52,8.7,0.003,0.003
8048,60,15.2,15.9,0.003,0.003
8048,103,8.52,8.7,0.003,0.003
8047,233,8.52,8.7,0.003,0.003
8040,276,8.44,8.54,0.003,0.003
